,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
476,1.5647058823529412,55.3,19.47057,12.394117647058822,18.541176470588237
477,0.8,45.0,30.41376,17.0,14.9
478,0.9,44.6,30.24515,16.9,15.3
479,0.9,44.2,29.88697,16.7,15.7
480,1.0,43.6,29.59761,16.6,16.1
481,1.1,43.1,29.17995,16.4,16.5
482,1.1,42.5,28.73194,16.2,16.9
483,1.2,42.0,28.14876,16.1,17.3
484,1.3,41.4,27.56038,15.9,17.7
485,1.3,40.9,27.07139,15.8,18.2
486,1.4,40.5,26.8679,15.6,18.6
487,1.5,40.2,26.65565,15.4,19.1
488,1.6,40.2,26.43936,15.3,19.6
489,1.7,40.4,26.27189,15.1,20.1
490,1.8,40.7,26.05968,14.9,20.6
491,1.9,41.2,25.86676,14.7,21.1
492,2.0,41.8,25.82037,14.6,21.6
493,2.1,42.4,25.76216,14.4,22.2
494,1.3882352941176472,43.0,25.75904,15.741176470588236,18.323529411764707
495,1.3882352941176472,43.6,25.85706,15.741176470588236,18.323529411764707
496,1.3882352941176472,44.2,26.10891,15.741176470588236,18.323529411764707
497,0.9,55.4,25.53195,17.7,13.4
498,0.9,55.2,24.6972,17.5,13.9
499,1.0,54.9,23.75993,17.2,14.3
500,1.1,54.6,22.78055,16.9,14.8
501,1.2,54.3,21.61387,16.6,15.3
502,1.3,53.9,20.64061,16.3,15.7
503,1.4,53.6,19.71746,16.0,16.2
504,1.5,53.2,18.84201,15.7,16.7
505,1.6,52.9,18.06154,15.4,17.2
506,1.7,52.6,17.28788,15.1,17.7
507,1.8,52.4,16.52108,14.8,18.3
508,1.9,52.2,15.87854,14.5,18.8
509,2.1,52.1,15.21329,14.2,19.4
510,2.2,52.0,14.63409,13.9,19.9
511,2.4,51.9,14.13394,13.6,20.5
